objectid,filename,title,format,description,creator,date,item_information,subject,location,source,identifier,rights,rightsstatement,type,language
campusecho019,https://newspapers.digitalnc.org/lccn/2015236599/1968-04-29/ed-1/seq-4.pdf,"""I think you can measure a company’s interest in its people by its willingness to invest in them.""",application/pdf,The IBM Program is for aspiring programers. This program allowes students to be full time while giving them financial opportunities ,"C. E Cammack, IBM Corpora­ tion, Department",1968.04.29,single-page; newspaper,Program; Oranization,"Durham, NC",https://www.digitalnc.org/newspapers/north-carolina-central-university-student-newspaper/,1968.04.29.6.I_think_ you_can_measure_a_company’s_interest_in_its_people_by_its_willingness_to_invest_in_them,https://rightsstatements.org/vocab/InC-EDU/1.0/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,English
campusecho020,https://newspapers.digitalnc.org/lccn/2015236599/1968-07-29/ed-1/seq-1/#words=29+July,48 Science Teachers In Summer Institute,application/pdf,48 teachers from many differents states have been enrolled into Central's 12th consecutive summer insitute for secondary teachers for science and mathematics,NCCU The Campus Echo,1968.07.29,single-page; newspaper,teachers;stem,"Durham, NC",https://www.digitalnc.org/newspapers/,1968.07.29.1.48_Science_Teachers_In_Summer Insitute_,https://rightsstatements.org/vocab/InC-EDU/1.0/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,English
campusecho021,https://newspapers.digitalnc.org/lccn/2015236599/1968-07-29/ed-1/seq-1/#words=29+July,Durham Foundation Makes Gift To School's Endownment Campaign,application/pdf,The Duncan Flecher foundation has gifted NCC with $500 in the college's million dollor endownment drive,NCCU The Campus Echo,1968.07.29,single-page; newspaper,foundation,"Durham, NC",https://www.digitalnc.org/newspapers/,1968.07.29.1.Durham_Foundation_makes_Gift_To_School's_ Endownment_ Campaign,https://rightsstatements.org/vocab/InC-EDU/1.0/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,English
campusecho022,https://newspapers.digitalnc.org/lccn/2015236599/1968-07-29/ed-1/seq-1/#words=29+July,"66,300 Grant Made by NSF",application/pdf,"NCC has recieved a  $66,300 grant from the National Science Foundation for a 3 year program of improvement of the school's physics curriculum",NCCU The Campus Echo,1968.07.29,single-page; newspaper,grant,"Durham, NC",https://www.digitalnc.org/newspapers/,1968.07.29.1.$66.300_Grant_Made_by_NSF,https://rightsstatements.org/vocab/InC-EDU/1.0/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,English
campusecho023,https://newspapers.digitalnc.org/lccn/2015236599/1968-07-29/ed-1/seq-1/#words=29+July,Appointments Announced by President Whiting ,application/pdf,"At the recent semi-annual of the NCC board of Trustees, the appointments of 21 people, including 13 new faculty members were announced by President Albert N. Whiting of NCC",NCCU The Campus Echo,1968.07.29,single-page; newspaper,president;announcement,"Durham, NC",https://www.digitalnc.org/newspapers/,1968.07.29.1.Appointments_Announced_By_President Whiting,https://rightsstatements.org/vocab/InC-EDU/1.0/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,English
campusecho024,https://newspapers.digitalnc.org/lccn/2015236599/1968-07-29/ed-1/seq-1/#words=29+July,Budget Request ,application/pdf,"Ncc will ask the North Carolina Legisature for $22,000,000 for the 1969-71 biennium according to financial vice president. of NCC, William Jones.",NCCU The Campus Echo,1968.07.29,single-page; newspaper,request;budget,"Durham, NC",https://www.digitalnc.org/newspapers/,1968.07.29.1.Budget_Request,https://rightsstatements.org/vocab/InC-EDU/1.0/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,English
campusecho025,https://newspapers.digitalnc.org/lccn/2015236599/1968-07-29/ed-1/seq-2/,"Ncc Falculty, Students In Attack On Poverty",application/pdf,2 major anti- poverty in NC involved NCC students and faculty,NCCU The Campus Echo,1968.07.29,single-page; newspaper,poverty;helping,"Durham, NC",https://www.digitalnc.org/newspapers/,1968.07.29.2.NCC_Faculty_Students_In_Attack_On_Poverty,https://rightsstatements.org/vocab/InC-EDU/1.0/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,English
campusecho026,https://newspapers.digitalnc.org/lccn/2015236599/1968-07-29/ed-1/seq-2/,Dr. Whiting Awarded L.L.D,application/pdf,"President of Ncc has been awarded L.L.D degree frpm Ahmerst college at the college commencement Friday, June 7th.",NCCU The Campus Echo,1968.07.29,single-page; newspaper,awarded,"Durham, NC",http://digitalnc.org/,1968.07.29.2.Dr.Whiting_Awarded_L.L.D.,https://rightsstatements.org/vocab/InC-EDU/1.0/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,English
campusecho027,https://newspapers.digitalnc.org/lccn/2015236599/1968-07-29/ed-1/seq-2/,Trustees Approve J.D. For Law School,application/pdf,NCC board of trustees approved awarding Jumior Doctor to all future graduates and those holding a bachelor's degree,NCCU The Campus Echo,1968.07.29,single-page; newspaper,approval,"Durham, NC",http://digitalnc.org/,1968.07.29.2.Trustees_Approve_J.D._For_Law_School_,https://rightsstatements.org/vocab/InC-EDU/1.0/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,English
campusecho028,https://newspapers.digitalnc.org/lccn/2015236599/1968-07-29/ed-1/seq-3/,The Director's Corner ,application/pdf,The director of NCC gives an update of enrollment based on last year's summer enrollment and all things new this year,NCCU The Campus Echo,1968.07.29,single-page; newspaper,director;update,"Durham, NC",http://digitalnc.org/,1968.07.29.3.The_Director's_Corner,https://rightsstatements.org/vocab/InC-EDU/1.0/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,English
campusecho029,https://newspapers.digitalnc.org/lccn/2015236599/1968-07-29/ed-1/seq-3/,Principals' Supervisors,application/pdf,"Principals, supervisors, and vice principals of all public schools in durham met together  ",NCCU The Campus Echo,1968.07.29,single-page; newspaper,community;principals;supervisors,"Durham, NC",http://digitalnc.org/,1968.07.29.3.Principals_Supervisors,https://rightsstatements.org/vocab/InC-EDU/1.0/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,English
campusecho030,https://newspapers.digitalnc.org/lccn/2015236599/1968-07-29/ed-1/seq-3/,Dean Latham Retires To Read Who-Dun-Its,application/pdf,Dean Miss Denise Latham retires after 20 years of working at NCC,NCCU The Campus Echo,1968.07.29,single-page; newspaper,retire;dean,"Durham, NC",http://digitalnc.org/,"1968.07.29.3.Dean_Latham_Retires_To_Read_""Who_Dun_Its""",https://rightsstatements.org/vocab/InC-EDU/1.0/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,English
campusecho031,https://newspapers.digitalnc.org/lccn/2015236599/1968-07-29/ed-1/seq-6/,Reading Workshop,application/pdf,Article discusess a workshop led by Daisy. W Robson on teaching reading to disadvantaged individuals .,NCCU The Campus Echo,1968.07.29,single-page; newspaper,workshop,"Durham, NC",http://digitalnc.org/,1968.07.29.6.Reading_Workshop,https://rightsstatements.org/vocab/InC-EDU/1.0/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,English
campusecho032,https://newspapers.digitalnc.org/lccn/2015236599/1968-07-29/ed-1/seq-6/,English Teachers Poems Published In New York,application/pdf,"Assistant English professor (and long time chairman of the Department of Dramatic Art)  at North Carolina College, Mary Bohanon- author of ""Poems and Character Sketches"" gets her book published by Greenwich Book Publishers Inc., New York.",NCCU The Campus Echo,1968.07.29,single-page; newspaper,teachers;published,"Durham, NC",http://digitalnc.org/,1968.07.29.6.English_Teachers_Poems_Published_In New_York,https://rightsstatements.org/vocab/InC-EDU/1.0/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,English
campusecho033,https://newspapers.digitalnc.org/lccn/2015236599/1968-07-29/ed-1/seq-7/,President Learns His Job Means Work,application/pdf,"Dr. Albert N. Whiting is contributing to higher education by serving on two important boards- the Educational Testing Service and the Board of Publications for Negro Universities Press, focusing on works related to predominantly black colleges and black history.",NCCU The Campus Echo,1968.07.29,single-page; newspaper,president;job,"Durham, NC",http://digitalnc.org/,1968.07.29.7.President_Learns _His_Job_Means_Work,https://rightsstatements.org/vocab/InC-EDU/1.0/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,English
campusecho034,https://newspapers.digitalnc.org/lccn/2015236599/1968-07-29/ed-1/seq-7/,Assistant Grid Coach Was Pro Footballer,application/pdf,"Robert H. ""Stonewall"" Jackson, was a former New York Giants linebacker, he has extensive coaching experience, one of that being the head coach at Johnson C. Smith University and Shaw University, and will now serve as an assistant coach at North Carolina College with an academic rank of instructor.",NCCU The Campus Echo,1968.07.29,single-page; newspaper,professional;athletle,"Durham, NC",http://digitalnc.org/,1968.07.29.7.Assistant_Grid_Coach_Was _Pro_Footballer,https://rightsstatements.org/vocab/InC-EDU/1.0/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,English
campusecho035,https://newspapers.digitalnc.org/lccn/2015236599/1968-07-29/ed-1/seq-7/,Faculty Members Study Under Catch-Up Grants,application/pdf,"A few North Carolina College faculty members (with an average of five years of service) decided to produce advanced studies, primarily focused on obtaining their doctorates, through grants provided by the College under North Carolina's ""catch-up"" program for developing institutions.",NCCU The Campus Echo,1968.07.29,single-page; newspaper,faculty;learning,"Durham, NC",http://digitalnc.org/,1968.07.29.7.Faculty_Members _Study_Under_Catch-Up_Grants,https://rightsstatements.org/vocab/InC-EDU/1.0/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,English
campusecho036,https://newspapers.digitalnc.org/lccn/2015236599/1968-07-29/ed-1/seq-7/,Faculty Promotions Made: Eight Rise From Instructors,application/pdf,"Dr. Albert N. Whiting, the former president of North Carolina College, announced promotions for nine faculty members, including Dr. Mary M. Townes, who was elevated from associate professor to professor and directed an NSF Institute for secondary school teachers. The other faculty members were promoted from instructor to assistant professor in different departments.",NCCU The Campus Echo,1968.07.29,single-page; newspaper,faculty;promotions,"Durham, NC",http://digitalnc.org/,1968.07.29.7.Faculty_Promotions_Made:_Eight_Rise_From_Instructors,https://rightsstatements.org/vocab/InC-EDU/1.0/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,English
campusecho037,https://newspapers.digitalnc.org/lccn/2015236599/1968-07-29/ed-1/seq-8/,"Microbiology Student Is Inventor, Playwright",application/pdf,"Benjamin Becker attended a Microbiology course at North Carolina College. He was a former businessman turned microbiology scholar, now an assistant professor at Hamilton College. Becker is known for his amazing work in bacterial analysis and discovery of a potential antimicrobial compound. While doing all of this he still pursued interests in sports and playwriting, including a musical comedy featuring Dr. Edward Jenner.",NCCU The Campus Echo,1968.07.29,single-page; newspaper,student;inveentor,"Durham, NC",http://digitalnc.org/,1968.07.29.8.Microbiology_Student_Is_Inventor_Playwright,https://rightsstatements.org/vocab/InC-EDU/1.0/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,English
